date | value
2009-01-01 | 32
2009-01-02 | 952
2009-01-05 | 186.72
2009-01-08 | 862
2009-01-08 | 458.48
2009-01-08 | 23
2009-01-11 | 614.05
2009-01-14 | 10
2009-01-17 | 42.33
2009-01-20 | 162
2009-01-23 | 50.81
2009-01-26 | 674
2009-01-29 | 666.39
2009-02-01 | 638
2009-02-04 | 478.30
2009-02-07 | 522
2009-02-10 | 945.14
2009-02-13 | 960
2009-02-16 | 411.62
2009-02-19 | 708
2009-02-22 | 743.30
2009-02-25 | 227
2009-02-28 | 196.03
2009-03-03 | 403
2009-03-06 | 471.76
2009-03-09 | 936
2009-03-12 | 985.26
2009-03-15 | 681
2009-03-18 | 88.76
2009-03-21 | 833
2009-03-24 | 377.26
2009-03-27 | 482
2009-03-31 | 796.34
2009-04-03 | 452
2009-04-06 | 151.47
2009-04-09 | 52
2009-04-12 | 702.08
2009-04-15 | 922
2009-04-18 | 85.11
2009-04-21 | 295
2009-04-24 | 242.57
2009-04-27 | 153
2009-04-30 | 571.92
2009-05-03 | 829
2009-05-06 | 207.52
2009-05-09 | 927
2009-05-12 | 395.57
2009-05-15 | 114
2009-05-18 | 800.66
2009-05-21 | 447
2009-05-24 | 824.67
2009-05-27 | 949
2009-05-30 | 288.34
2009-06-02 | 923
2009-06-05 | 832.25
2009-06-08 | 762
2009-06-11 | 444.83
2009-06-14 | 340
2009-06-17 | 164.55
2009-06-20 | 628
2009-06-23 | 163.36
2009-06-26 | 125
2009-06-29 | 711.52
2009-07-02 | 625
2009-07-05 | 336.82
2009-07-08 | 618
2009-07-11 | 512.01
2009-07-14 | 205
2009-07-17 | 335.53
2009-07-20 | 305
2009-07-23 | 639.72
2009-07-26 | 525
2009-07-29 | 211.00
2009-08-01 | 590
2009-08-04 | 71.11
2009-08-07 | 268
2009-08-10 | 16.40
2009-08-13 | 473
2009-08-16 | 656.24
2009-08-19 | 359
2009-08-22 | 525.14
2009-08-25 | 860
2009-08-28 | 204.80
2009-08-31 | 95
2009-09-03 | 949.45
2009-09-06 | 428
2009-09-09 | 800.69
2009-09-12 | 664
2009-09-15 | 183.97
2009-09-18 | 859
2009-09-21 | 424.48
2009-09-24 | 696
2009-09-27 | 548.72
2009-09-30 | 15
2009-10-03 | 75.43
2009-10-06 | 517
2009-10-09 | 900.98
2009-10-12 | 109
2009-10-15 | 663.73
2009-10-18 | 993
2009-10-21 | 568.21
2009-10-24 | 199
2009-10-26 | 98.21
2009-10-29 | 445
2009-11-01 | 516.12
2009-11-04 | 437
2009-11-07 | 159.54
2009-11-10 | 924
2009-11-13 | 721.90
2009-11-16 | 285
2009-11-19 | 904.70
2009-11-22 | 230
2009-11-25 | 856.44
2009-11-28 | 609
2009-12-01 | 634.42
2009-12-04 | 500
2009-12-07 | 953.50
2009-12-10 | 902
2009-12-13 | 687.07
2009-12-16 | 790
2009-12-19 | 903.70
2009-12-22 | 122
2009-12-25 | 591.34
2009-12-28 | 108
2009-12-31 | 303.12
2010-01-03 | 588
2010-01-06 | 467.04
2010-01-09 | 533
2010-01-12 | 396.59
2010-01-15 | 108
2010-01-18 | 909.23
2010-01-21 | 589
2010-01-24 | 564.61
2010-01-27 | 77
2010-01-30 | 939.94
2010-02-02 | 860
2010-02-05 | 149.10
2010-02-08 | 582
2010-02-11 | 80.65
2010-02-14 | 878
2010-02-17 | 144.24
2010-02-20 | 627
2010-02-23 | 7.80
2010-02-26 | 703
2010-03-01 | 652.99
2010-03-04 | 509
2010-03-07 | 731.73
2010-03-10 | 242
2010-03-13 | 870.79
2010-03-16 | 997
2010-03-19 | 769.40
2010-03-22 | 282
2010-03-25 | 782.65
2010-03-29 | 406
2010-04-01 | 308.54
2010-04-04 | 409
2010-04-07 | 623.51
2010-04-10 | 922
2010-04-13 | 929.87
2010-04-16 | 482
2010-04-19 | 691.74
2010-04-22 | 454
2010-04-25 | 51.48
2010-04-28 | 96
2010-05-01 | 48.32
2010-05-04 | 172
2010-05-07 | 929.31
2010-05-10 | 498
2010-05-13 | 179.21
2010-05-16 | 349
2010-05-19 | 639.40
2010-05-22 | 766
2010-05-25 | 741.23
2010-05-28 | 558
2010-05-31 | 265.39
2010-06-03 | 683
2010-06-06 | 118.82
2010-06-09 | 351
2010-06-12 | 131.46
2010-06-15 | 594
2010-06-18 | 613.93
2010-06-21 | 460
2010-06-24 | 776.03
2010-06-27 | 737
2010-06-30 | 755.21
2010-07-03 | 269
2010-07-06 | 88.98
2010-07-09 | 986
2010-07-12 | 393.97
2010-07-15 | 753
2010-07-18 | 877.57
2010-07-21 | 663
2010-07-24 | 948.00
2010-07-27 | 343
2010-07-30 | 996.78
2010-08-02 | 132
2010-08-05 | 435.97
2010-08-08 | 208
2010-08-11 | 17.99
2010-08-14 | 131
2010-08-17 | 661.64
2010-08-20 | 252
2010-08-23 | 378.82
2010-08-26 | 422
2010-08-29 | 283.84
2010-09-01 | 725
2010-09-04 | 858.14
2010-09-07 | 188
2010-09-10 | 274.92
2010-09-13 | 720
2010-09-16 | 226.04
2010-09-19 | 726
2010-09-22 | 688.88
2010-09-25 | 987
2010-09-28 | 916.08
2010-10-01 | 445
2010-10-04 | 537.37
2010-10-07 | 434
2010-10-10 | 607.75
2010-10-13 | 846
2010-10-16 | 9.29
2010-10-19 | 395
2010-10-22 | 682.84
2010-10-25 | 170
2010-10-28 | 220.89
2010-10-31 | 268
2010-11-02 | 612.99
2010-11-05 | 665
2010-11-08 | 197.45
2010-11-11 | 375
2010-11-14 | 481.41
2010-11-17 | 944
2010-11-20 | 792.46
2010-11-23 | 6
2010-11-26 | 996.76
2010-11-29 | 785
2010-12-02 | 804.95
2010-12-05 | 397
2010-12-08 | 554.58
2010-12-11 | 781
2010-12-14 | 673.75
2010-12-17 | 66
2010-12-20 | 143.87
2010-12-23 | 677
2010-12-26 | 697.34
2010-12-29 | 321
2011-01-01 | 130.97
2011-01-04 | 887
2011-01-07 | 912.84
2011-01-10 | 923
2011-01-13 | 253.96
2011-01-16 | 641
2011-01-19 | 438.97
2011-01-22 | 902
2011-01-25 | 498.60
2011-01-28 | 452
2011-01-31 | 303.52
2011-02-03 | 220
2011-02-06 | 850.96
2011-02-09 | 101
2011-02-12 | 501.41
2011-02-15 | 560
2011-02-18 | 313.50
2011-02-21 | 149
2011-02-24 | 319.89
2011-02-27 | 788
2011-03-02 | 19.89
2011-03-05 | 37
2011-03-08 | 782.42
2011-03-11 | 763
2011-03-14 | 661.37
2011-03-17 | 245
2011-03-20 | 372.09
2011-03-23 | 33
2011-03-26 | 990.91
2011-03-30 | 560
2011-04-02 | 84.33
2011-04-05 | 609
2011-04-08 | 622.36
2011-04-11 | 476
2011-04-14 | 255.47
2011-04-17 | 441
2011-04-20 | 926.92
2011-04-23 | 941
2011-04-26 | 530.28
2011-04-29 | 477
2011-05-02 | 340.41
2011-05-05 | 112
2011-05-08 | 821.60
2011-05-11 | 133
2011-05-14 | 90.23
2011-05-17 | 628
2011-05-20 | 73.95
2011-05-23 | 820
2011-05-26 | 864.65
2011-05-29 | 861
2011-06-01 | 200.80
2011-06-04 | 738
2011-06-07 | 732.00
2011-06-10 | 16
2011-06-13 | 582.34
2011-06-16 | 463
2011-06-19 | 234.89
2011-06-22 | 521
2011-06-25 | 149.08
2011-06-28 | 20
2011-07-01 | 328.53
2011-07-04 | 24
2011-07-07 | 145.01
